[2021-10-21T11:00:17.061] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T11:00:17.227] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T11:00:22.715] [INFO] info - path:/user | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T11:00:25.881] [INFO] info - path:/user | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T11:00:36.248] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:00:39.752] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:01:12.401] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:01:20.449] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:01:24.817] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:01:26.875] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:02:32.348] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:02:56.032] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:02:58.224] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:03:28.759] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:04:30.850] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:04:34.899] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:11:29.707] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:11:38.844] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:14:28.245] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:03.041] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:04.524] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:04.978] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:05.273] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:07.447] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:08.113] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:08.791] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:17:09.254] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:39:37.343] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:39:48.019] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:39:51.174] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T11:45:30.464] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:45:30.583] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:45:52.875] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:45:52.925] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:47:02.383] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:47:02.445] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:47:09.102] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T11:47:09.156] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:02:46.082] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:02:46.149] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:02:53.349] [INFO] info - path:/user | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:02:53.394] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:04.963] [INFO] info - path:/user/%20login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:05.004] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:22.559] [INFO] info - path:/user/%20login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:22.632] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:24.825] [INFO] info - path:/user/%20login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:24.871] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:03:37.717] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T12:04:47.625] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T12:04:50.245] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T12:04:53.584] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T12:04:53.669] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:28:51.897] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:28:52.034] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:30:08.907] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:30:08.990] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:30:48.393] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:30:48.465] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:31:24.668] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:31:24.759] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:32:50.907] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T14:32:50.914] [INFO] info - path:/robots.txt | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T14:32:50.984] [INFO] info - path:/robots.txt | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T14:32:51.084] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36
[2021-10-21T14:33:38.342] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:38.420] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:38.668] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:47.360] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:47.522] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:50.387] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:33:50.597] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:34:06.140] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:34:06.329] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:34:39.348] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:34:39.529] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:35:17.600] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:35:17.793] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:37:44.595] [INFO] info - path:/user/login | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T14:37:44.960] [INFO] info - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D52 UCBrowser/13.6.0.1576 Mobile  AliApp(TUnionSDK/0.1.20.4)
[2021-10-21T15:14:20.615] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:14:22.305] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:16:20.770] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:16:24.785] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:16:34.141] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:16:50.993] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:17:39.280] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:17:46.139] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:18:06.886] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:18:20.081] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:18:36.416] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:23:21.430] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:23:28.769] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:25:08.070] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:25:37.867] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:26:24.502] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:26:31.197] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:26:36.495] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:27:55.815] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:33:41.525] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:33:46.204] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:33:56.020] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:34:49.817] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:06.030] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:40.698] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:42.104] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:42.675] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:43.095] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:43.456] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:35:45.040] [INFO] info - path:/user/login | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-21T15:36:37.289] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:36:40.460] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:44:40.983] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:44:55.612] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:46:24.488] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:47:34.369] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:47:57.264] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:48:02.872] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:49:53.381] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:50:15.119] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:50:36.152] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:50:59.156] [INFO] info - path:/ | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36
[2021-10-21T15:51:14.145] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:51:25.343] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:51:31.186] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:51:33.920] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:51:34.670] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:51:42.215] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T15:52:00.849] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T16:07:03.401] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T16:07:07.871] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T16:07:10.131] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T16:08:57.343] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T16:12:14.764] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:00:29.834] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:07:33.252] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:07:42.624] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:07:57.066] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:10:40.532] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:11:19.959] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:11:40.151] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:11:41.431] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:11:48.365] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:11:55.985] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:12:37.836] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:12:43.835] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:12:59.226] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:13:22.172] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:18:51.810] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:20:59.843] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:21:17.483] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:21:25.083] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:21:35.742] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:21:59.567] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:23:21.741] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:23:35.101] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:24:00.407] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:24:25.265] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:24:31.271] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:24:54.086] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:24:59.018] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-21T17:25:08.627] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
