[2021-10-23T22:42:17.398] [INFO] info - path:/ | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:42:31.665] [INFO] info - path:/admin | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:42:35.009] [INFO] info - path:/admin | method:GET | ua:PostmanRuntime/7.28.4
[2021-10-23T22:43:00.198] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:43:57.815] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:44:35.828] [INFO] info - path:/user/register | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:46:04.951] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:48:39.196] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:49:27.664] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:50:27.888] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:51:26.174] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:51:32.314] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:53:05.701] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:53:07.211] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:53:09.691] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:53:56.855] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:03.900] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:05.512] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:12.724] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:34.769] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:41.455] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:54:48.594] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:22.838] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:28.651] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:43.668] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:46.553] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:49.743] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:55:58.983] [INFO] info - path:/user | method:PATCH | ua:PostmanRuntime/7.28.4
[2021-10-23T22:56:02.053] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:56:04.722] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
[2021-10-23T22:56:08.802] [INFO] info - path:/user/login | method:POST | ua:PostmanRuntime/7.28.4
